MultiAgentWaterWorld: 2022-02-18 20:14:04,041 [INFO] EvoJAX MultiAgentWaterWorld
MultiAgentWaterWorld: 2022-02-18 20:14:04,041 [INFO] ==============================
MultiAgentWaterWorld: 2022-02-18 20:14:18,123 [INFO] Start to train for 2000 iterations.
MultiAgentWaterWorld: 2022-02-18 20:21:39,742 [INFO] Iter=680, size=16, max=1.2812, avg=0.7842, min=0.2188, std=0.3014
MultiAgentWaterWorld: 2022-02-18 20:21:44,834 [INFO] Iter=690, size=16, max=1.3750, avg=0.8477, min=0.0469, std=0.3266
MultiAgentWaterWorld: 2022-02-18 20:21:49,935 [INFO] Iter=700, size=16, max=1.4531, avg=0.9795, min=0.0781, std=0.3262
MultiAgentWaterWorld: 2022-02-18 20:21:50,528 [INFO] [TEST] Iter=700, #tests=100, max=1.9375 avg=0.7344, min=-0.7500, std=0.5065
MultiAgentWaterWorld: 2022-02-18 20:21:55,602 [INFO] Iter=710, size=16, max=1.4844, avg=0.9160, min=0.2344, std=0.3210
MultiAgentWaterWorld: 2022-02-18 20:22:00,695 [INFO] Iter=720, size=16, max=1.3594, avg=0.9131, min=0.1406, std=0.2934
MultiAgentWaterWorld: 2022-02-18 20:22:05,796 [INFO] Iter=730, size=16, max=1.2656, avg=0.9219, min=0.2656, std=0.2517
MultiAgentWaterWorld: 2022-02-18 20:22:10,861 [INFO] Iter=740, size=16, max=1.3438, avg=0.9902, min=0.5781, std=0.2249
MultiAgentWaterWorld: 2022-02-18 20:22:15,934 [INFO] Iter=750, size=16, max=1.4062, avg=1.0850, min=0.6250, std=0.2321
MultiAgentWaterWorld: 2022-02-18 20:22:21,009 [INFO] Iter=760, size=16, max=1.4062, avg=1.0654, min=0.6406, std=0.2266
MultiAgentWaterWorld: 2022-02-18 20:22:26,101 [INFO] Iter=770, size=16, max=1.7500, avg=0.9902, min=0.4375, std=0.3222
MultiAgentWaterWorld: 2022-02-18 20:22:31,179 [INFO] Iter=780, size=16, max=1.6719, avg=0.9688, min=0.3906, std=0.3680
MultiAgentWaterWorld: 2022-02-18 20:22:36,270 [INFO] Iter=790, size=16, max=1.5000, avg=1.0635, min=0.6562, std=0.2207
MultiAgentWaterWorld: 2022-02-18 20:22:41,362 [INFO] Iter=800, size=16, max=1.7031, avg=1.1270, min=0.7344, std=0.2996
MultiAgentWaterWorld: 2022-02-18 20:22:41,956 [INFO] [TEST] Iter=800, #tests=100, max=2.0000 avg=0.9631, min=0.0625, std=0.4494
MultiAgentWaterWorld: 2022-02-18 20:22:47,052 [INFO] Iter=810, size=16, max=1.6875, avg=1.1016, min=0.3125, std=0.3009
MultiAgentWaterWorld: 2022-02-18 20:22:52,134 [INFO] Iter=820, size=16, max=1.7188, avg=1.1553, min=0.2500, std=0.3265
MultiAgentWaterWorld: 2022-02-18 20:22:57,227 [INFO] Iter=830, size=16, max=1.4219, avg=1.0615, min=0.5625, std=0.2027
MultiAgentWaterWorld: 2022-02-18 20:23:02,291 [INFO] Iter=840, size=16, max=1.4219, avg=1.1094, min=0.4219, std=0.2630
MultiAgentWaterWorld: 2022-02-18 20:23:07,355 [INFO] Iter=850, size=16, max=1.8594, avg=1.1055, min=0.6719, std=0.3115
MultiAgentWaterWorld: 2022-02-18 20:23:12,400 [INFO] Iter=860, size=16, max=1.6719, avg=0.8867, min=0.3438, std=0.3390
MultiAgentWaterWorld: 2022-02-18 20:23:17,493 [INFO] Iter=870, size=16, max=1.6562, avg=1.2207, min=0.7656, std=0.2502
MultiAgentWaterWorld: 2022-02-18 20:23:22,575 [INFO] Iter=880, size=16, max=1.7812, avg=1.1592, min=0.4219, std=0.3129
MultiAgentWaterWorld: 2022-02-18 20:23:27,678 [INFO] Iter=890, size=16, max=1.5938, avg=1.2178, min=0.6406, std=0.2788
MultiAgentWaterWorld: 2022-02-18 20:23:32,761 [INFO] Iter=900, size=16, max=1.6250, avg=1.2939, min=0.9062, std=0.2381
MultiAgentWaterWorld: 2022-02-18 20:23:33,355 [INFO] [TEST] Iter=900, #tests=100, max=2.3125 avg=1.0981, min=0.0000, std=0.4468
MultiAgentWaterWorld: 2022-02-18 20:23:38,444 [INFO] Iter=910, size=16, max=1.7656, avg=1.1367, min=0.2812, std=0.4147
MultiAgentWaterWorld: 2022-02-18 20:23:43,510 [INFO] Iter=920, size=16, max=1.6719, avg=1.0957, min=0.3281, std=0.2762
MultiAgentWaterWorld: 2022-02-18 20:23:48,585 [INFO] Iter=930, size=16, max=1.9219, avg=1.1357, min=0.7344, std=0.2751
MultiAgentWaterWorld: 2022-02-18 20:23:53,665 [INFO] Iter=940, size=16, max=2.1406, avg=1.2451, min=0.7500, std=0.3501
MultiAgentWaterWorld: 2022-02-18 20:23:58,759 [INFO] Iter=950, size=16, max=1.6875, avg=1.0996, min=0.3906, std=0.3364
